Time,DMM_Meas1,Stimulus_Outer_Value,Stimulus_Inner_Value,Stimulus_Step
2026-01-30 12:24:37.647,1.9947,2000.0,80.0,35
2026-01-30 12:24:38.667,0.7815,2250.0,20.0,36
2026-01-30 12:24:39.691,1.1161,2250.0,30.0,37
2026-01-30 12:24:40.720,1.3895,2250.0,40.0,38
2026-01-30 12:24:41.740,1.611,2250.0,50.0,39
2026-01-30 12:24:42.755,1.7834,2250.0,60.0,40
2026-01-30 12:24:43.779,1.9108,2250.0,70.0,41
2026-01-30 12:24:44.800,2.0,2250.0,80.0,42
2026-01-30 12:24:45.825,0.7503,2500.0,20.0,43
2026-01-30 12:24:46.844,1.0779,2500.0,30.0,44
2026-01-30 12:24:47.862,1.3503,2500.0,40.0,45
2026-01-30 12:24:48.881,1.5754,2500.0,50.0,46
2026-01-30 12:24:49.903,1.7559,2500.0,60.0,47
2026-01-30 12:24:50.925,1.8942,2500.0,70.0,48
2026-01-30 12:24:51.943,1.9971,2500.0,80.0,49
2026-01-30 12:24:52.959,0.7231,2750.0,20.0,50
2026-01-30 12:24:53.982,1.0432,2750.0,30.0,51
2026-01-30 12:24:55.001,1.3135,2750.0,40.0,52
2026-01-30 12:24:56.022,1.541,2750.0,50.0,53
2026-01-30 12:24:57.039,1.7268,2750.0,60.0,54
2026-01-30 12:24:58.060,1.8731,2750.0,70.0,55
2026-01-30 12:24:59.079,1.9856,2750.0,80.0,56
2026-01-30 12:25:00.100,0.6982,3000.0,20.0,57
2026-01-30 12:25:01.120,1.0113,3000.0,30.0,58
2026-01-30 12:25:02.138,1.279,3000.0,40.0,59
2026-01-30 12:25:03.161,1.5074,3000.0,50.0,60
2026-01-30 12:25:04.178,1.6971,3000.0,60.0,61
2026-01-30 12:25:05.200,1.8504,3000.0,70.0,62
2026-01-30 12:25:06.217,1.9728,3000.0,80.0,63
2026-01-30 12:25:07.240,0.6759,3250.0,20.0,64
2026-01-30 12:25:08.255,0.9824,3250.0,30.0,65
2026-01-30 12:25:09.276,1.2468,3250.0,40.0,66
2026-01-30 12:25:10.298,1.475,3250.0,50.0,67
2026-01-30 12:25:11.317,1.668,3250.0,60.0,68
2026-01-30 12:25:12.337,1.826,3250.0,70.0,69
2026-01-30 12:25:13.354,1.9557,3250.0,80.0,70
2026-01-30 12:25:14.377,0.6558,3500.0,20.0,71
2026-01-30 12:25:15.393,0.9554,3500.0,30.0,72
2026-01-30 12:25:16.417,1.2167,3500.0,40.0,73
2026-01-30 12:25:17.434,1.4445,3500.0,50.0,74
2026-01-30 12:25:18.456,1.6393,3500.0,60.0,75
2026-01-30 12:25:19.475,1.8019,3500.0,70.0,76
2026-01-30 12:25:20.496,1.9369,3500.0,80.0,77
2026-01-30 12:25:21.512,0.6373,3750.0,20.0,78
2026-01-30 12:25:22.535,0.9307,3750.0,30.0,79
2026-01-30 12:25:23.553,1.1886,3750.0,40.0,80
2026-01-30 12:25:24.575,1.415,3750.0,50.0,81
2026-01-30 12:25:25.591,1.6116,3750.0,60.0,82
2026-01-30 12:25:26.615,1.7758,3750.0,70.0,83
2026-01-30 12:25:27.632,1.9178,3750.0,80.0,84
2026-01-30 12:25:28.654,0.6203,4000.0,20.0,85
2026-01-30 12:25:29.672,0.9078,4000.0,30.0,86
2026-01-30 12:25:30.694,1.1619,4000.0,40.0,87
2026-01-30 12:25:31.711,1.3873,4000.0,50.0,88
2026-01-30 12:25:32.732,1.5838,4000.0,60.0,89
2026-01-30 12:25:33.754,1.7516,4000.0,70.0,90
2026-01-30 12:25:34.769,1.8929,4000.0,80.0,91
2026-01-30 12:25:35.792,0.6049,4250.0,20.0,92
2026-01-30 12:25:36.814,0.8866,4250.0,30.0,93
2026-01-30 12:25:37.830,1.1374,4250.0,40.0,94
2026-01-30 12:25:38.851,1.3606,4250.0,50.0,95
2026-01-30 12:25:39.874,1.5581,4250.0,60.0,96
2026-01-30 12:25:40.889,1.7278,4250.0,70.0,97
2026-01-30 12:25:41.912,1.8724,4250.0,80.0,98
2026-01-30 12:25:42.929,0.5903,4500.0,20.0,99
2026-01-30 12:25:43.951,0.8666,4500.0,30.0,100
2026-01-30 12:25:44.969,1.114,4500.0,40.0,101
2026-01-30 12:25:45.991,1.3362,4500.0,50.0,102
2026-01-30 12:25:47.009,1.5317,4500.0,60.0,103
2026-01-30 12:25:48.032,1.7031,4500.0,70.0,104
2026-01-30 12:25:49.046,1.8556,4500.0,80.0,105
2026-01-30 12:25:50.069,0.577,4750.0,20.0,106
2026-01-30 12:25:51.087,0.8483,4750.0,30.0,107
2026-01-30 12:25:52.108,1.0919,4750.0,40.0,108
2026-01-30 12:25:53.126,1.3119,4750.0,50.0,109
2026-01-30 12:25:54.148,1.5075,4750.0,60.0,110
2026-01-30 12:25:55.166,1.6777,4750.0,70.0,111
2026-01-30 12:25:56.187,1.8281,4750.0,80.0,112
2026-01-30 12:25:57.206,0.5647,5000.0,20.0,113
2026-01-30 12:25:58.228,0.8308,5000.0,30.0,114
2026-01-30 12:25:59.245,1.0712,5000.0,40.0,115
2026-01-30 12:26:00.268,1.2903,5000.0,50.0,116
2026-01-30 12:26:01.287,1.4843,5000.0,60.0,117
2026-01-30 12:26:02.305,1.6581,5000.0,70.0,118
2026-01-30 12:26:03.324,1.8136,5000.0,80.0,119
2026-01-30 12:26:04.345,0.5531,5250.0,20.0,120
2026-01-30 12:26:05.364,0.8144,5250.0,30.0,121
2026-01-30 12:26:06.386,1.0518,5250.0,40.0,122
2026-01-30 12:26:07.405,1.268,5250.0,50.0,123
2026-01-30 12:26:08.426,1.4613,5250.0,60.0,124
2026-01-30 12:26:09.445,1.639,5250.0,70.0,125
2026-01-30 12:26:10.463,1.7906,5250.0,80.0,126
2026-01-30 12:26:11.484,0.5422,5500.0,20.0,127
2026-01-30 12:26:12.505,0.7993,5500.0,30.0,128
2026-01-30 12:26:13.520,1.0334,5500.0,40.0,129
2026-01-30 12:26:14.543,1.247,5500.0,50.0,130
2026-01-30 12:26:15.562,1.4396,5500.0,60.0,131
2026-01-30 12:26:16.584,1.6111,5500.0,70.0,132
2026-01-30 12:26:17.602,1.764,5500.0,80.0,133
2026-01-30 12:26:18.620,0.5318,5750.0,20.0,134
2026-01-30 12:26:19.643,0.7845,5750.0,30.0,135
2026-01-30 12:26:20.664,1.0152,5750.0,40.0,136
2026-01-30 12:26:21.679,1.2274,5750.0,50.0,137
2026-01-30 12:26:22.702,1.4215,5750.0,60.0,138
2026-01-30 12:26:23.720,1.5978,5750.0,70.0,139
2026-01-30 12:26:24.742,1.7572,5750.0,80.0,140
2026-01-30 12:26:25.760,0.5224,6000.0,20.0,141
2026-01-30 12:26:26.781,0.7718,6000.0,30.0,142
2026-01-30 12:26:27.799,0.9982,6000.0,40.0,143
2026-01-30 12:26:28.822,1.2094,6000.0,50.0,144
2026-01-30 12:26:29.838,1.4032,6000.0,60.0,145
2026-01-30 12:26:30.861,1.5699,6000.0,70.0,146
2026-01-30 12:26:31.878,1.7316,6000.0,80.0,147
2026-01-30 12:26:32.900,0.513,6250.0,20.0,148
2026-01-30 12:26:33.918,0.7583,6250.0,30.0,149
2026-01-30 12:26:34.939,0.9821,6250.0,40.0,150
2026-01-30 12:26:35.961,1.1927,6250.0,50.0,151
2026-01-30 12:26:36.978,1.3791,6250.0,60.0,152
2026-01-30 12:26:37.998,1.56,6250.0,70.0,153
2026-01-30 12:26:39.016,1.7033,6250.0,80.0,154
2026-01-30 12:26:40.039,0.5045,6500.0,20.0,155
2026-01-30 12:26:41.057,0.746,6500.0,30.0,156
2026-01-30 12:26:42.075,0.967,6500.0,40.0,157
2026-01-30 12:26:43.096,1.1746,6500.0,50.0,158
2026-01-30 12:26:44.119,1.3656,6500.0,60.0,159
2026-01-30 12:26:45.134,1.5309,6500.0,70.0,160
2026-01-30 12:26:46.156,1.6947,6500.0,80.0,161
2026-01-30 12:26:47.177,0.4965,6750.0,20.0,162
2026-01-30 12:26:48.195,0.7343,6750.0,30.0,163
2026-01-30 12:26:49.216,0.9529,6750.0,40.0,164
2026-01-30 12:26:50.233,1.1555,6750.0,50.0,165
2026-01-30 12:26:51.256,1.3445,6750.0,60.0,166
2026-01-30 12:26:52.273,1.5221,6750.0,70.0,167
2026-01-30 12:26:53.295,1.6861,6750.0,80.0,168
2026-01-30 12:26:54.314,0.4891,7000.0,20.0,169
2026-01-30 12:26:55.335,0.7232,7000.0,30.0,170
2026-01-30 12:26:56.358,0.9404,7000.0,40.0,171
2026-01-30 12:26:57.374,1.1427,7000.0,50.0,172
2026-01-30 12:26:58.392,1.3301,7000.0,60.0,173
2026-01-30 12:26:59.415,1.5022,7000.0,70.0,174
2026-01-30 12:27:00.433,1.6608,7000.0,80.0,175
2026-01-30 12:27:01.455,0.4816,7250.0,20.0,176
2026-01-30 12:27:02.474,0.7127,7250.0,30.0,177
2026-01-30 12:27:03.490,0.9273,7250.0,40.0,178
2026-01-30 12:27:04.539,1.1273,7250.0,50.0,179
2026-01-30 12:27:05.564,1.3107,7250.0,60.0,180
2026-01-30 12:27:06.580,1.4765,7250.0,70.0,181
2026-01-30 12:27:07.607,1.6323,7250.0,80.0,182
2026-01-30 12:27:08.632,0.4747,7500.0,20.0,183
2026-01-30 12:27:09.651,0.7022,7500.0,30.0,184
2026-01-30 12:27:10.676,0.9125,7500.0,40.0,185
2026-01-30 12:27:11.702,1.1105,7500.0,50.0,186
2026-01-30 12:27:12.724,1.3003,7500.0,60.0,187
2026-01-30 12:27:13.740,1.4725,7500.0,70.0,188
2026-01-30 12:27:14.763,1.6134,7500.0,80.0,189
2026-01-30 12:27:15.780,0.4682,7750.0,20.0,190
2026-01-30 12:27:16.854,0.6918,7750.0,30.0,191
2026-01-30 12:27:17.873,0.9015,7750.0,40.0,192
2026-01-30 12:27:18.942,1.1007,7750.0,50.0,193
2026-01-30 12:27:19.971,1.2764,7750.0,60.0,194
2026-01-30 12:27:20.989,1.4557,7750.0,70.0,195
2026-01-30 12:27:22.007,1.6104,7750.0,80.0,196
2026-01-30 12:27:23.033,0.4616,8000.0,20.0,197
2026-01-30 12:27:24.062,0.6825,8000.0,30.0,198
2026-01-30 12:27:25.081,0.891,8000.0,40.0,199
2026-01-30 12:27:26.102,1.0822,8000.0,50.0,200
2026-01-30 12:27:27.129,1.2723,8000.0,60.0,201
2026-01-30 12:27:28.175,1.4282,8000.0,70.0,202
2026-01-30 12:27:29.305,1.6063,8000.0,80.0,203
2026-01-30 12:27:30.345,0.4551,8250.0,20.0,204
2026-01-30 12:27:31.366,0.6749,8250.0,30.0,205
2026-01-30 12:27:32.390,0.8768,8250.0,40.0,206
2026-01-30 12:27:33.410,1.0742,8250.0,50.0,207
2026-01-30 12:27:34.429,1.2517,8250.0,60.0,208
2026-01-30 12:27:35.448,1.4159,8250.0,70.0,209
2026-01-30 12:27:36.463,1.5892,8250.0,80.0,210
2026-01-30 12:27:37.484,0.4492,8500.0,20.0,211
2026-01-30 12:27:38.510,0.665,8500.0,30.0,212
2026-01-30 12:27:39.534,0.87,8500.0,40.0,213
2026-01-30 12:27:40.557,1.0581,8500.0,50.0,214
2026-01-30 12:27:41.573,1.2339,8500.0,60.0,215
2026-01-30 12:27:42.595,1.4155,8500.0,70.0,216
2026-01-30 12:27:43.615,1.5654,8500.0,80.0,217
2026-01-30 12:27:44.634,0.4445,8750.0,20.0,218
2026-01-30 12:27:45.656,0.657,8750.0,30.0,219
2026-01-30 12:27:46.670,0.8554,8750.0,40.0,220
2026-01-30 12:27:47.693,1.0463,8750.0,50.0,221
2026-01-30 12:27:48.713,1.2323,8750.0,60.0,222
2026-01-30 12:27:49.731,1.398,8750.0,70.0,223
2026-01-30 12:27:50.754,1.5405,8750.0,80.0,224
2026-01-30 12:27:51.771,0.4387,9000.0,20.0,225
2026-01-30 12:27:52.792,0.6503,9000.0,30.0,226
2026-01-30 12:27:53.811,0.85,9000.0,40.0,227
2026-01-30 12:27:54.835,1.0389,9000.0,50.0,228
2026-01-30 12:27:55.865,1.2131,9000.0,60.0,229
2026-01-30 12:27:56.882,1.3722,9000.0,70.0,230
2026-01-30 12:27:57.902,1.5186,9000.0,80.0,231
2026-01-30 12:27:58.922,0.4334,9250.0,20.0,232
2026-01-30 12:27:59.940,0.6408,9250.0,30.0,233
2026-01-30 12:28:00.961,0.8355,9250.0,40.0,234
2026-01-30 12:28:01.982,1.0197,9250.0,50.0,235
2026-01-30 12:28:02.998,1.1925,9250.0,60.0,236
2026-01-30 12:28:04.024,1.3533,9250.0,70.0,237
2026-01-30 12:28:05.052,1.5037,9250.0,80.0,238
2026-01-30 12:28:06.077,0.4293,9500.0,20.0,239
2026-01-30 12:28:07.104,0.6358,9500.0,30.0,240
2026-01-30 12:28:08.148,0.8305,9500.0,40.0,241
2026-01-30 12:28:09.179,1.0156,9500.0,50.0,242
2026-01-30 12:28:10.213,1.1903,9500.0,60.0,243
2026-01-30 12:28:11.241,1.3511,9500.0,70.0,244
2026-01-30 12:28:12.262,1.4985,9500.0,80.0,245
2026-01-30 12:28:13.291,0.4232,9750.0,20.0,246
2026-01-30 12:28:14.312,0.6261,9750.0,30.0,247
2026-01-30 12:28:15.435,0.8194,9750.0,40.0,248
2026-01-30 12:28:17.033,1.0058,9750.0,50.0,249
2026-01-30 12:28:18.067,1.1844,9750.0,60.0,250
2026-01-30 12:28:19.087,1.3514,9750.0,70.0,251
2026-01-30 12:28:20.112,1.4997,9750.0,80.0,252
2026-01-30 12:28:21.144,0.4202,10000.0,20.0,253
2026-01-30 12:28:22.175,0.6218,10000.0,30.0,254
2026-01-30 12:28:23.199,0.8092,10000.0,40.0,255
2026-01-30 12:28:24.226,0.9874,10000.0,50.0,256
2026-01-30 12:28:25.244,1.1631,10000.0,60.0,257
2026-01-30 12:28:26.267,1.3374,10000.0,70.0,258
2026-01-30 12:28:27.289,1.4977,10000.0,80.0,259
